time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst
2024-04-28T17:40:21.212Z,24.1161,121.6919,39.701,4.4,49,73,0.622,0.66,2024-07-02T22:12:37.040Z,"17 km NNE of Hualien City, Taiwan",earthquake,2.5,6.271,0.06,27
2024-04-28T08:13:49.168Z,24.2036,121.6777,35.668,4.1,37,62,0.539,0.56,2024-07-02T22:12:52.040Z,"26 km NNE of Hualien City, Taiwan",earthquake,3.66,6.571,0.063,24
2024-04-27T20:30:16.852Z,23.8869,121.5109,10,3.9,31,81,0.519,0.67,2024-07-02T22:12:57.040Z,"13 km SW of Hualien City, Taiwan",earthquake,1.89,1.861,0.071,19
2024-04-27T01:06:26.880Z,24.1699,121.6816,21.52,4.3,44,78,0.57,0.68,2024-07-02T22:12:43.040Z,"22 km NNE of Hualien City, Taiwan",earthquake,2.28,5.451,0.109,24
2024-04-26T20:08:15.447Z,24.0607,122.0059,24.687,4.5,83,75,0.835,0.62,2024-07-02T22:12:31.040Z,"41 km ENE of Hualien City, Taiwan",earthquake,1.03,4.752,0.062,25
2024-04-26T19:13:27.955Z,24.1588,121.6576,37.109,4.4,110,33,0.57,0.56,2024-07-02T22:12:36.040Z,"20 km NNE of Hualien City, Taiwan",earthquake,3.27,5.619,0.06,27
2024-04-26T18:49:29.534Z,24.2394,121.6724,40.475,5.2,252,21,0.506,0.76,2024-07-02T22:12:13.040Z,"29 km NNE of Hualien City, Taiwan",earthquake,3.43,3.036,0.063,24
2024-04-26T18:45:04.404Z,24.1703,121.644,37.936,4.3,88,48,0.554,0.59,2024-07-02T22:12:43.040Z,"21 km N of Hualien City, Taiwan",earthquake,3.29,7.126,0.07,65
2024-04-26T18:21:23.639Z,24.1531,121.6724,37.767,5.7,259,22,0.581,0.54,2024-10-09T09:25:18.674Z,"20 km NNE of Hualien City, Taiwan",earthquake,3.55,3.34,0.05,38
2024-04-26T12:28:12.818Z,23.7816,121.5626,10,4.6,54,81,0.458,1.08,2024-07-02T22:12:25.040Z,"22 km S of Hualien City, Taiwan",earthquake,3.26,1.858,0.078,16
2024-04-25T09:03:31.890Z,23.8904,121.7748,27.492,4.3,38,49,0.661,0.6,2024-07-02T22:12:46.040Z,"19 km ESE of Hualien City, Taiwan",earthquake,2.36,5.417,0.129,17
2024-04-25T01:23:20.163Z,23.8115,121.6576,10,4.2,96,80,0.532,0.64,2024-07-02T22:12:48.040Z,"19 km SSE of Hualien City, Taiwan",earthquake,3.03,1.808,0.093,11
2024-04-25T00:48:19.664Z,23.6549,121.6154,23.538,4.2,16,137,0.392,1,2024-07-02T22:12:50.040Z,"35 km S of Hualien City, Taiwan",earthquake,3.15,5.834,0.235,5
2024-04-25T00:19:12.973Z,23.6536,121.6402,10.888,4.6,66,47,0.408,0.8,2024-07-02T22:12:26.040Z,"35 km S of Hualien City, Taiwan",earthquake,2.53,4.256,0.087,40
2024-04-24T23:53:33.982Z,23.8965,121.6256,13.362,4,43,84,0.585,0.56,2024-07-02T22:12:55.040Z,"9 km SSE of Hualien City, Taiwan",earthquake,1.76,4.247,0.066,22
2024-04-24T19:19:33.585Z,23.9458,122.2905,19.123,4.2,35,149,0.838,0.57,2024-07-02T22:12:50.040Z,"69 km E of Hualien City, Taiwan",earthquake,2.71,4.597,0.147,13
2024-04-24T18:12:16.908Z,24.0007,122.2704,27.095,5.3,98,70,0.82,0.93,2024-07-02T22:12:13.040Z,"67 km E of Hualien City, Taiwan",earthquake,6.36,2.538,0.065,79
